real_data,synth,utterance,CER,WER
0.25,1,0,0.18421052631578946,0.6923076923076923
0.25,1,1,0.225,0.625
0.25,1,2,0.20192307692307693,0.6111111111111112
0.25,1,3,0.2903225806451613,0.42857142857142855
0.25,1,4,0.3442622950819672,0.8181818181818182
0.25,1,5,0.0916030534351145,0.4090909090909091
0.25,1,6,0.09929078014184398,0.38461538461538464
0.25,1,7,0.20454545454545456,0.4444444444444444
0.25,1,8,0.19540229885057472,0.4666666666666667
0.25,1,9,0.051470588235294115,0.2692307692307692
0.25,1,10,0.14754098360655737,0.3333333333333333
0.25,1,11,0.10194174757281553,0.358974358974359
0.25,1,12,0.06329113924050633,0.2962962962962963
0.25,1,13,0.1,0.25
0.25,1,14,0.11764705882352941,0.25
0.25,1,15,0.0,0.0
0.25,1,16,0.30357142857142855,0.7
0.25,1,17,0.12598425196850394,0.43478260869565216
0.25,1,18,0.11312217194570136,0.38636363636363635
0.25,1,19,0.08866995073891626,0.3
0.25,1,20,0.128099173553719,0.37254901960784315
0.25,1,21,0.11578947368421053,0.47368421052631576
0.25,1,22,0.09497206703910614,0.4117647058823529
0.25,1,23,0.09836065573770492,0.4
0.25,1,24,0.10404624277456648,0.3333333333333333
0.25,1,25,0.11827956989247312,0.4117647058823529
0.25,1,26,0.07936507936507936,0.2857142857142857
0.25,1,27,0.16216216216216217,0.375
0.25,1,28,0.14814814814814814,0.6
0.25,1,29,0.08333333333333333,0.4
0.25,1,30,0.1,0.3333333333333333
0.25,1,31,0.11688311688311688,0.42857142857142855
0.25,1,32,0.17647058823529413,0.5
0.25,1,33,0.18421052631578946,0.3333333333333333
0.25,1,34,0.11428571428571428,0.2857142857142857
0.25,1,35,0.09090909090909091,0.3
0.25,1,36,0.18421052631578946,0.7142857142857143
0.25,1,37,0.16923076923076924,0.5
0.25,1,38,0.08333333333333333,0.4
0.25,1,39,0.1388888888888889,0.4117647058823529
0.25,1,40,0.2057142857142857,0.6176470588235294
0.25,1,41,0.13333333333333333,0.6666666666666666
0.25,1,42,0.08928571428571429,0.4444444444444444
0.25,1,43,0.1506849315068493,0.6
0.25,1,44,0.07608695652173914,0.3333333333333333
0.25,1,45,0.1702127659574468,0.625
0.25,1,46,0.17370892018779344,0.5681818181818182
0.25,1,47,0.16296296296296298,0.5102040816326531
0.25,1,48,0.4666666666666667,1.0
0.25,1,49,0.14492753623188406,0.47058823529411764
0.25,1,50,0.09606986899563319,0.37209302325581395
0.25,1,51,0.172,0.5
0.25,1,52,0.2631578947368421,0.5
0.25,1,53,0.12,0.6
0.25,1,54,0.10833333333333334,0.4090909090909091
0.25,1,55,0.22727272727272727,0.47058823529411764
0.25,1,56,0.36363636363636365,1.0
0.25,1,57,0.07692307692307693,0.5
0.25,1,58,0.4523809523809524,0.8888888888888888
0.25,1,59,0.14285714285714285,0.5714285714285714
0.25,1,60,0.07407407407407407,0.3076923076923077
0.25,1,61,0.1968503937007874,0.46153846153846156
0.25,1,62,0.5,1.0
0.25,1,63,0.11206896551724138,0.2916666666666667
0.25,1,64,0.22935779816513763,0.631578947368421
0.25,1,65,0.37623762376237624,1.1428571428571428
0.25,1,66,0.21825396825396826,0.6046511627906976
0.25,1,67,0.2634730538922156,0.7
0.25,1,68,0.1870967741935484,0.5714285714285714
0.25,1,69,0.26229508196721313,0.64
0.25,1,70,0.18518518518518517,0.8333333333333334
0.25,1,71,0.20192307692307693,0.5681818181818182
0.25,1,72,0.1978798586572438,0.5263157894736842
0.25,1,73,0.21764705882352942,0.6935483870967742
0.25,1,74,0.20987654320987653,0.7692307692307693
0.25,1,75,0.21621621621621623,0.6829268292682927
0.25,1,76,0.20348837209302326,0.6176470588235294
0.25,1,77,0.25,0.6666666666666666
0.25,1,78,0.16363636363636364,0.6666666666666666
0.25,1,79,0.1762295081967213,0.6190476190476191
0.25,1,80,0.19130434782608696,0.631578947368421
0.25,1,81,0.3150684931506849,0.7333333333333333
0.25,1,82,0.17297297297297298,0.6206896551724138
0.25,1,83,0.25136612021857924,0.65625
0.25,1,84,0.19230769230769232,0.5833333333333334
0.25,1,85,0.19900497512437812,0.65625
0.25,1,86,0.11382113821138211,0.3103448275862069
0.25,1,87,0.15471698113207547,0.5
0.25,1,88,0.19004524886877827,0.725
0.25,1,89,0.3490566037735849,0.9
0.25,1,90,0.22846441947565543,0.673469387755102
0.25,1,91,0.19424460431654678,0.5454545454545454
0.25,1,92,0.2,0.5952380952380952
0.25,1,93,0.35294117647058826,0.875
0.25,1,94,0.42857142857142855,0.6666666666666666
0.25,1,95,0.17647058823529413,0.6
0.25,1,96,0.2789115646258503,0.6875
0.25,1,97,0.1411764705882353,0.6923076923076923
0.25,1,98,0.18394648829431437,0.66
0.25,1,99,0.34782608695652173,0.75
0.25,1,100,0.31,0.8666666666666667
0.25,1,101,0.228310502283105,0.6097560975609756
0.25,1,102,0.3333333333333333,0.625
0.25,1,103,0.2391304347826087,0.7647058823529411
0.25,1,104,0.225,1.0
0.25,1,105,0.184,0.5714285714285714
0.25,1,106,0.28125,0.8333333333333334
0.25,1,107,0.19736842105263158,0.5
0.25,1,108,0.21621621621621623,0.5333333333333333
0.25,1,109,0.2524271844660194,0.631578947368421
0.25,1,110,0.24489795918367346,0.7
0.25,1,111,0.45161290322580644,0.6666666666666666
0.25,1,112,0.22535211267605634,0.5333333333333333
0.25,1,113,0.25,0.7142857142857143
0.25,1,114,0.5454545454545454,1.5
0.25,1,115,0.25,0.5
0.25,1,116,0.2894736842105263,0.8
0.25,1,117,0.3684210526315789,0.8571428571428571
0.25,1,118,0.29333333333333333,0.9285714285714286
0.25,1,119,0.2457627118644068,0.6521739130434783
0.25,1,120,0.32432432432432434,0.5555555555555556
0.25,1,121,0.47619047619047616,0.8
0.25,1,122,0.125,0.25
0.25,1,123,0.5238095238095238,0.75
0.25,1,124,0.32934131736526945,0.8181818181818182
0.25,1,125,0.4,0.5
0.25,1,126,0.41714285714285715,0.8571428571428571
0.25,1,127,0.314410480349345,0.7446808510638298
0.25,1,128,0.4025157232704403,0.875
0.25,1,129,0.23952095808383234,0.6842105263157895
0.25,1,130,0.2980392156862745,0.6666666666666666
0.25,1,131,0.2571428571428571,0.71875
0.25,1,132,0.23809523809523808,0.5789473684210527
0.25,1,133,0.2857142857142857,0.7
0.25,1,134,0.3624161073825503,0.7307692307692307
0.25,1,135,0.3974358974358974,0.9230769230769231
0.25,1,136,0.3577981651376147,0.7307692307692307
0.25,1,137,0.33035714285714285,0.782608695652174
0.25,1,138,0.3333333333333333,0.75
0.25,1,139,0.23529411764705882,0.7777777777777778
0.25,1,140,0.16901408450704225,0.5384615384615384
0.25,1,141,0.21333333333333335,0.6
0.25,1,142,0.41379310344827586,0.8333333333333334
0.25,1,143,0.3055555555555556,0.7142857142857143
0.25,1,144,0.32075471698113206,0.8181818181818182
0.25,1,145,0.23076923076923078,0.6521739130434783
0.25,1,146,0.345679012345679,0.8333333333333334
0.25,1,147,0.23076923076923078,0.6111111111111112
0.25,1,148,0.3076923076923077,1.0
0.25,1,149,0.2765957446808511,0.8888888888888888
0.25,1,150,0.2727272727272727,1.0
0.25,1,151,0.16,0.5
0.25,1,152,0.275,0.625
0.25,1,153,0.2982456140350877,0.7272727272727273
0.25,1,154,0.2512820512820513,0.6363636363636364
0.25,1,155,0.45454545454545453,1.0
0.25,1,156,0.5283018867924528,0.9285714285714286
0.25,1,157,0.20382165605095542,0.6666666666666666
0.25,1,158,0.18218623481781376,0.4489795918367347
0.25,1,159,0.12653061224489795,0.4222222222222222
0.25,1,160,0.15254237288135594,0.4782608695652174
0.25,1,161,0.10294117647058823,0.47368421052631576
0.25,1,162,0.18446601941747573,0.5263157894736842
0.25,1,163,0.16,0.4583333333333333
0.25,1,164,0.35294117647058826,0.6666666666666666
0.25,1,165,0.19811320754716982,0.7222222222222222
0.25,1,166,0.16666666666666666,0.6
0.25,1,167,0.2692307692307692,0.5
0.25,1,168,0.20212765957446807,0.6666666666666666
0.25,1,169,0.16981132075471697,0.6
0.25,1,170,0.4375,0.7272727272727273
0.25,1,171,0.09268292682926829,0.32432432432432434
0.25,1,172,0.07692307692307693,0.24489795918367346
0.25,1,173,0.1,0.36363636363636365
0.25,1,174,0.13793103448275862,0.5833333333333334
0.25,1,175,0.1016949152542373,0.4090909090909091
0.25,1,176,0.13432835820895522,0.46
0.25,1,177,0.14457831325301204,0.40625
0.25,1,178,0.17796610169491525,0.5416666666666666
0.25,1,179,0.10588235294117647,0.45161290322580644
0.25,1,180,0.11494252873563218,0.2727272727272727
0.25,1,181,0.19704433497536947,0.5833333333333334
0.25,1,182,0.14006514657980457,0.46551724137931033
0.25,1,183,0.12719298245614036,0.39473684210526316
0.25,1,184,0.14285714285714285,0.7
0.25,1,185,0.10606060606060606,0.5454545454545454
0.25,1,186,0.05405405405405406,0.2857142857142857
0.25,1,187,0.1518987341772152,0.4444444444444444
0.25,1,188,0.15023474178403756,0.4358974358974359
0.25,1,189,0.1826086956521739,0.525
0.25,1,190,0.10508474576271186,0.36363636363636365
0.25,1,191,0.12109375,0.3541666666666667
0.25,1,192,0.13580246913580246,0.4117647058823529
0.25,1,193,0.14473684210526316,0.44642857142857145
0.25,1,194,0.11764705882352941,0.40625
0.25,1,195,0.11627906976744186,0.4444444444444444
0.25,1,196,0.125,0.4146341463414634
0.25,1,197,0.13846153846153847,0.391304347826087
0.25,1,198,0.11570247933884298,0.4523809523809524
0.25,1,199,0.16831683168316833,0.4358974358974359
0.25,1,200,0.16477272727272727,0.4375
0.25,1,201,0.16326530612244897,0.5789473684210527
0.25,1,202,0.09375,0.2857142857142857
0.25,1,203,0.164,0.5
0.25,1,204,0.16317991631799164,0.5111111111111111
0.25,1,205,0.13903743315508021,0.34285714285714286
0.25,1,206,0.1,0.4444444444444444
0.25,1,207,0.19607843137254902,0.6666666666666666
0.25,1,208,0.16113744075829384,0.4523809523809524
0.25,1,209,0.19491525423728814,0.5238095238095238
0.25,1,210,0.1893939393939394,0.6
0.25,1,211,0.20512820512820512,0.7142857142857143
0.25,1,212,0.19491525423728814,0.5909090909090909
0.25,1,213,0.1935483870967742,0.5185185185185185
0.25,1,214,0.13131313131313133,0.5263157894736842
0.25,1,215,0.15853658536585366,0.5294117647058824
0.25,1,216,0.2222222222222222,0.5333333333333333
0.25,1,217,0.09259259259259259,0.4090909090909091
0.25,1,218,0.1092436974789916,0.3181818181818182
0.25,1,219,0.08403361344537816,0.2916666666666667
0.25,1,220,0.14857142857142858,0.42857142857142855
0.25,1,221,0.06593406593406594,0.2777777777777778
0.25,1,222,0.18796992481203006,0.5517241379310345
0.25,1,223,0.24528301886792453,0.8888888888888888
0.25,1,224,0.3333333333333333,0.6428571428571429
0.25,1,225,0.1956521739130435,0.45454545454545453
0.25,1,226,0.19607843137254902,0.5454545454545454
0.25,1,227,0.4117647058823529,1.0625
0.25,1,228,0.20833333333333334,0.6666666666666666
0.25,1,229,0.10843373493975904,0.35294117647058826
0.25,1,230,0.26288659793814434,0.5217391304347826
0.25,1,231,0.22580645161290322,0.5957446808510638
0.25,1,232,0.1595744680851064,0.45
0.25,1,233,0.1935483870967742,0.5151515151515151
0.25,1,234,0.44680851063829785,0.8333333333333334
0.25,1,235,0.34831460674157305,0.9473684210526315
0.25,1,236,0.15384615384615385,0.5625
0.25,1,237,0.17777777777777778,0.56
0.25,1,238,0.2647058823529412,0.8461538461538461
0.25,1,239,0.3,0.6666666666666666
0.25,1,240,0.26436781609195403,0.625
0.25,1,241,0.14473684210526316,0.5333333333333333
0.25,1,242,0.21052631578947367,0.5094339622641509
0.25,1,243,0.14814814814814814,0.42857142857142855
0.25,1,244,0.19387755102040816,0.4782608695652174
0.25,1,245,0.22448979591836735,0.75
0.25,1,246,0.1711229946524064,0.46153846153846156
0.25,1,247,0.13114754098360656,0.35714285714285715
0.25,1,248,0.19444444444444445,0.5294117647058824
0.25,1,249,0.12727272727272726,0.43478260869565216
0.25,1,250,0.3541666666666667,0.7777777777777778
0.25,1,251,0.23636363636363636,0.6060606060606061
0.25,1,252,0.1694915254237288,0.46153846153846156
0.25,1,253,0.13095238095238096,0.5
0.25,1,254,0.21428571428571427,0.5
0.25,1,255,0.15151515151515152,0.35
0.25,1,256,0.11382113821138211,0.6
0.25,1,257,0.08,0.25806451612903225
0.25,1,258,0.1,0.4090909090909091
0.25,1,259,0.0625,0.24
0.25,1,260,0.15492957746478872,0.6666666666666666
0.25,1,261,0.23484848484848486,0.6428571428571429
0.25,1,262,0.2676767676767677,0.6444444444444445
0.25,1,263,0.23529411764705882,1.0
0.25,1,264,0.32142857142857145,0.6666666666666666
0.25,1,265,0.32673267326732675,0.5789473684210527
0.25,1,266,0.24242424242424243,0.8
0.25,1,267,0.12213740458015267,0.391304347826087
0.25,1,268,0.14285714285714285,0.39285714285714285
0.25,1,269,0.18614718614718614,0.631578947368421
0.25,1,270,0.18211920529801323,0.5283018867924528
0.25,1,271,0.20192307692307693,0.5641025641025641
0.25,1,272,0.18947368421052632,0.5303030303030303
0.25,1,273,0.20625,0.6296296296296297
0.25,1,274,0.2384937238493724,0.7297297297297297
0.25,1,275,0.13270142180094788,0.5384615384615384
0.25,1,276,0.18012422360248448,0.5151515151515151
0.25,1,277,0.12844036697247707,0.45
0.25,1,278,0.1,0.5
0.25,1,279,0.2840909090909091,1.0
0.25,1,280,0.20930232558139536,0.55
0.25,1,281,0.13559322033898305,0.5
0.25,1,282,0.13333333333333333,0.4
0.25,1,283,0.13385826771653545,0.5
0.25,1,284,0.07575757575757576,0.25
0.25,1,285,0.10869565217391304,0.42857142857142855
0.25,1,286,0.182648401826484,0.625
0.25,1,287,0.06626506024096386,0.32142857142857145
0.25,1,288,0.08181818181818182,0.2608695652173913
0.25,1,289,0.0425531914893617,0.14285714285714285
0.25,1,290,0.1388888888888889,0.42105263157894735
0.25,1,291,0.125,0.38461538461538464
0.25,1,292,0.12096774193548387,0.391304347826087
0.25,1,293,0.15315315315315314,0.5714285714285714
0.25,1,294,0.14666666666666667,0.5
0.25,1,295,0.10909090909090909,0.391304347826087
0.25,1,296,0.0966183574879227,0.32432432432432434
0.25,1,297,0.09090909090909091,0.38461538461538464
0.25,1,298,0.10227272727272728,0.3125
0.25,1,299,0.12585034013605442,0.3709677419354839
0.25,1,300,0.09523809523809523,0.5
0.25,1,301,0.15384615384615385,0.5909090909090909
0.25,1,302,0.1,0.5
0.25,1,303,0.06432748538011696,0.22580645161290322
0.25,1,304,0.08270676691729323,0.28
0.25,1,305,0.05142857142857143,0.25806451612903225
0.25,1,306,0.05813953488372093,0.23529411764705882
0.25,1,307,0.2328767123287671,0.5714285714285714
0.25,1,308,0.1411764705882353,0.3333333333333333
0.25,1,309,0.031578947368421054,0.11764705882352941
0.25,1,310,0.11347517730496454,0.3793103448275862
0.25,1,311,0.1864406779661017,0.5263157894736842
0.25,1,312,0.11409395973154363,0.32
0.25,1,313,0.11702127659574468,0.4
0.25,1,314,0.1791044776119403,0.6666666666666666
0.25,1,315,0.2231404958677686,0.7727272727272727
0.25,1,316,0.16129032258064516,0.6190476190476191
